Team,Name,Primary Position,Year,USG%,PPG,REB/G,AST/G,3PA/G,AST/TOV,STL/40,BLK/40,DRB/40,ORB/40,TRB/40,FG%,ATR%,FT%,3P%,Open Market Low,Open Market High,CDI,DDS,SEI,SMI,RIS,Playmaker Tags,Shooting/Scoring Tags
California,Dai Dai Ames,Guard,Junior,26.6,16.9,2.0,2.2,4.4,1.3,0.9,0.1,2.1,0.4,2.5,46.40%,52.4%,85.00%,37.60%,,,,,,,,Ball Dominant,Shooter
California,Chris Bell,Wing,Senior,23.0,14.2,2.6,0.6,5.6,0.5,0.7,0.9,3.2,0.6,3.7,45.90%,18.7%,85.70%,40.00%,,,,,,,,Non-Passer,Shooter
California,John Camden,Wing,Senior,19.8,13.8,4.8,1.5,6.7,1.5,1.0,0.3,4.8,1.1,6.1,44.50%,23.8%,80.90%,39.50%,,,,,,,,Non-Passer,"Elite Shooter, Low-USG Finisher"
California,Justin Pippen,Guard,Sophomore,26.5,14.2,3.9,4.6,5.2,1.9,2.5,0.8,4.2,0.9,5.1,37.00%,54.1%,82.70%,32.70%,,,,,,,,"Secondary Playmaker, Ball Dominant",Non-Shooter
California,Lee Dort,Wing,Senior,16.6,8.1,7.8,0.9,0.0,0.9,0.7,1.6,9.9,3.6,13.5,59.70%,10.3%,65.00%,0.00%,,,,,,,,Non-Passer,Efficient Scorer
California,Milos Ilic,Wing,Senior,11.7,3.6,4.4,1.4,0.2,1.4,1.4,0.5,6.9,3.2,10.1,56.10%,24.1%,71.40%,28.60%,,,,,,,,Non-Passer,Efficient Scorer
California,Semetri (TT) Carr,Guard,Freshman,13.9,3.8,2.6,2.2,1.1,3.7,1.0,0.2,4.6,1.7,6.3,36.10%,45.8%,74.60%,25.70%,,,,,,,,"High-IQ Passer, Low-Mistake Handler",Non-Shooter
California,DJ Campbell,Guard,Senior,14.5,3.3,1.8,0.8,1.3,1.3,1.3,0.3,3.9,0.8,4.7,35.40%,30.8%,43.80%,40.00%,,,,,,,,Non-Passer,"Elite Shooter, Low-USG Finisher"
California,Nolan Dorsey,Guard,Senior,10.6,1.9,1.5,0.4,1.3,1.3,1.5,0.0,4.9,1.1,5.6,38.20%,21.1%,66.70%,29.30%,,,,,,,,Non-Passer,Non-Shooter
California,Mantas Kocanas,Big,Sophomore,15.4,1.7,1.5,0.1,0.4,0.2,1.2,0.0,6.4,2.3,8.7,50.00%,6.2%,40.00%,37.50%,,,,,,,,Non-Passer,Shooter
California,Rytis Petraitis,Guard,Senior,14.3,5.3,4.0,1.0,0.7,1.7,1.4,2.1,7.3,2.1,9.5,58.30%,20.0%,63.60%,40.00%,,,,,,,,Non-Passer,"Elite Shooter, Low-USG Finisher, Efficient Scorer"
California,Sammie Yeanay,Wing,Sophomore,16.5,1.1,1.0,0.2,0.4,2.0,0.0,1.8,5.5,3.6,9.1,36.40%,16.7%,50.00%,25.00%,,,,,,,,Non-Passer,Non-Shooter
California,Dhiaukuei Manyiel Dut,Wing,Sophomore,9.2,0.4,1.0,0.1,0.1,0.5,1.1,6.5,8.6,3.2,10.8,40.00%,9.1%,50.00%,0.00%,,,,,,,,Non-Passer,Non-Shooter
California,BJ Fisher,Guard,Sophomore,22.6,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,33.30%,0.0%,0.00%,0.00%,,,,,,,,Non-Passer,Non-Shooter
California,Luke Butler,Guard,Freshman,8.5,0.0,0.3,0.0,0.0,0.0,4.4,0.0,4.4,4.4,13.3,0.00%,0.0%,0.00%,0.00%,,,,,,,,Non-Passer,Non-Shooter
California,Stephon Marbury II,Guard,Sophomore,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0%,0.00%,0.00%,,,,,,,,Ball Dominant,Volume Scorer
