player_name,league,season,season_type,stat_type,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
Pau Riera,Spanish Liga U,2026,Regular_Season,Averages,LLU,18,27.2,22.2,7.7,16.2,.474,1.4,5.8,.240,5.5,8.3,.660,0.8,4.0,4.8,4.1,3.6,0.2,4.1,2.3
Joaquin Taboada,Spanish Liga U,2026,Regular_Season,Averages,BLU,22,27.4,20.0,7.3,15.2,.479,2.2,6.2,.350,3.2,4.2,.772,1.9,3.5,5.4,3.4,1.4,0.5,2.5,2.4
Wilmer Mejia,Spanish Liga U,2026,Regular_Season,Averages,ULU,17,27.6,19.7,7.3,15.3,.477,0.8,3.3,.232,4.4,6.1,.712,1.2,3.1,4.3,2.5,1.6,0.4,4.6,2.1
Dylan Bordon Dri,Spanish Liga U,2026,Regular_Season,Averages,CCLU,18,31.7,19.7,6.7,16.0,.417,1.7,6.4,.261,4.7,5.8,.808,0.7,2.2,2.9,4.9,1.6,0.2,2.6,2.4
Joao Gluck,Spanish Liga U,2026,Regular_Season,Averages,UMLU,17,26.8,16.9,5.9,14.8,.401,2.5,7.4,.333,2.6,3.5,.733,1.9,3.5,5.5,1.5,1.8,0.2,1.9,2.8
Wilfried Arthur Tsafack,Spanish Liga U,2026,Regular_Season,Averages,GCLU,26,27.4,16.9,7.0,12.4,.562,0.2,1.4,.167,2.7,4.4,.617,3.7,4.4,8.1,1.3,1.6,0.9,2.4,2.3
Lucas Hernandez Langarita,Spanish Liga U,2026,Regular_Season,Averages,CZLU,9,24.4,16.3,6.0,14.8,.406,3.3,8.7,.385,1.0,1.8,.563,0.7,2.4,3.1,3.4,1.8,0.2,1.8,0.6
Joaquim Boumtje-Boumtje,Spanish Liga U,2026,Regular_Season,Averages,BLU,26,23.1,15.8,5.8,11.6,.502,1.4,4.2,.333,2.8,3.6,.787,1.7,4.5,6.2,1.8,1.2,0.8,2.8,1.8
Arturas Butajevas,Spanish Liga U,2026,Regular_Season,Averages,ULU,21,27.4,15.6,6.4,12.9,.498,1.0,3.5,.284,1.8,3.3,.536,3.0,4.5,7.6,1.3,0.9,0.7,2.4,1.6
Xabier Lopez,Spanish Liga U,2026,Regular_Season,Averages,CCLU,28,28.8,15.5,5.9,12.6,.472,0.8,2.8,.286,2.9,5.4,.533,2.7,6.1,8.8,1.7,1.3,0.4,1.9,2.1
Gaye Khalifa Ababacar,Spanish Liga U,2026,Regular_Season,Averages,GLU,24,25.7,14.9,4.3,10.7,.397,0.9,3.6,.241,5.5,7.0,.786,2.8,5.9,8.7,0.8,1.5,0.7,3.1,3.0
Egor Amosov,Spanish Liga U,2026,Regular_Season,Averages,RMLU,28,25.6,14.8,5.5,12.6,.433,2.1,6.8,.305,1.8,2.5,.718,1.3,4.8,6.0,2.7,2.4,0.5,2.1,2.7
Urko Madariaga,Spanish Liga U,2026,Regular_Season,Averages,BLU,20,29.0,14.7,5.3,10.0,.525,0.0,0.1,.000,4.2,7.2,.587,3.8,5.2,8.9,2.2,1.4,0.6,2.9,3.4
Alex Blanco,Spanish Liga U,2026,Regular_Season,Averages,VLU,25,25.6,14.1,5.4,14.2,.383,1.1,5.6,.201,2.1,4.2,.510,1.2,2.2,3.4,3.8,1.8,0.2,2.9,3.3
Jorge Carot Hernandez,Spanish Liga U,2026,Regular_Season,Averages,VLU,26,26.9,14.1,5.2,10.5,.496,0.7,3.3,.212,3.0,4.0,.767,2.5,5.5,8.0,1.0,1.0,0.7,2.2,2.5
Oier De La Heras,Spanish Liga U,2026,Regular_Season,Averages,BLU,7,29.0,13.9,4.1,10.0,.414,1.7,5.3,.324,3.9,5.0,.771,0.4,3.9,4.3,3.4,3.6,0.0,2.6,2.9
Liam Krispin,Spanish Liga U,2026,Regular_Season,Averages,BLU,27,20.4,13.6,5.2,11.9,.441,1.6,4.9,.328,1.5,2.0,.759,0.7,1.5,2.2,1.2,1.3,0.1,1.0,2.4
Nikola Kusturica,Spanish Liga U,2026,Regular_Season,Averages,BLU,19,23.7,13.5,4.4,11.1,.398,1.3,5.2,.245,3.4,4.5,.765,2.6,4.9,7.5,1.9,1.5,0.6,2.6,1.8
Nikola Dzepina,Spanish Liga U,2026,Regular_Season,Averages,VLU,2,16.6,13.5,4.5,8.0,.563,2.0,3.5,.571,2.5,4.5,.556,1.5,2.5,4.0,2.0,0.5,1.5,1.0,2.0
Ilia Frolov,Spanish Liga U,2026,Regular_Season,Averages,RMLU,19,22.6,13.5,5.0,9.5,.528,1.2,3.2,.361,2.3,2.7,.846,2.7,4.7,7.4,1.0,1.1,0.5,2.0,3.3
Adrian de la Torre,Spanish Liga U,2026,Regular_Season,Averages,JLU,22,29.9,13.3,5.0,10.9,.460,1.5,5.0,.294,1.8,3.3,.548,1.5,5.1,6.6,2.7,1.9,0.7,2.3,2.0
Ibrahima Khalilou,Spanish Liga U,2026,Regular_Season,Averages,LLU,21,22.1,13.2,4.9,9.4,.523,0.6,2.0,.279,2.9,5.3,.541,2.8,3.6,6.4,1.7,0.6,1.6,3.1,2.7
Youssouf Traore,Spanish Liga U,2026,Regular_Season,Averages,CZLU,18,24.2,13.2,5.0,8.9,.559,0.0,0.2,.000,3.2,4.9,.659,2.8,4.4,7.3,1.4,0.9,0.8,2.8,2.6
Mohamed Dabone,Spanish Liga U,2026,Regular_Season,Averages,BLU,25,20.8,13.0,4.7,7.8,.600,0.6,1.6,.359,3.1,4.7,.653,2.5,6.0,8.4,0.6,1.2,0.8,1.9,2.7
Izan Almansa,Spanish Liga U,2026,Regular_Season,Averages,RMLU,15,25.4,13.0,4.7,9.6,.493,0.5,2.0,.233,3.1,4.7,.657,2.2,4.6,6.8,2.2,0.8,0.6,1.1,1.2
Oriol Molist,Spanish Liga U,2026,Regular_Season,Averages,GLU,24,22.8,12.9,4.3,11.3,.380,2.6,7.8,.339,1.7,2.0,.833,1.0,2.4,3.4,2.2,2.0,0.0,2.9,2.5
Mohamed Sangare,Spanish Liga U,2026,Regular_Season,Averages,CCLU,28,26.7,12.8,4.8,9.3,.515,0.7,1.8,.400,2.5,4.2,.602,2.5,4.7,7.3,0.3,1.0,0.3,1.8,2.9
Alexander Savkov,Spanish Liga U,2026,Regular_Season,Averages,CZLU,25,23.7,12.4,4.2,9.6,.442,1.9,5.0,.381,2.0,2.4,.847,1.4,4.2,5.6,2.0,0.9,1.0,2.0,2.6
Max Gaspa,Spanish Liga U,2026,Regular_Season,Averages,BMLU,10,22.8,12.3,4.4,9.2,.478,1.5,4.0,.375,2.0,2.7,.741,1.3,2.6,3.9,2.6,1.5,0.0,2.6,2.8
Bingen Errasti,Spanish Liga U,2026,Regular_Season,Averages,BLU,14,26.9,12.2,4.1,10.1,.411,1.4,4.5,.317,2.5,3.1,.814,1.1,3.0,4.1,3.5,2.5,0.0,3.4,2.6
Khory Brunot,Spanish Liga U,2026,Regular_Season,Averages,GLU,17,22.5,12.2,4.3,9.8,.440,1.4,3.7,.365,2.2,4.4,.514,1.4,3.4,4.8,1.4,1.7,0.2,1.5,2.4
Aiert Velasco,Spanish Liga U,2026,Regular_Season,Averages,BLU,21,21.0,12.0,3.7,9.7,.384,2.0,5.5,.365,2.5,3.3,.768,0.7,2.0,2.8,1.8,0.8,0.0,1.9,2.0
Eetu Mikael Heinonen,Spanish Liga U,2026,Regular_Season,Averages,GCLU,25,25.0,11.8,3.8,10.8,.349,1.8,6.4,.288,2.4,2.9,.836,0.7,2.2,3.0,2.6,1.0,0.1,1.7,2.6
Marcus Engelhardt,Spanish Liga U,2026,Regular_Season,Averages,ULU,13,28.4,11.7,4.3,10.3,.418,0.9,3.5,.261,2.2,3.1,.700,2.3,6.4,8.7,1.4,1.2,2.1,2.3,3.0
Tomas Talcis,Spanish Liga U,2026,Regular_Season,Averages,VLU,25,23.7,11.6,3.9,8.3,.471,1.0,3.1,.308,2.8,3.6,.758,1.8,3.4,5.3,1.6,0.6,0.4,2.1,2.1
Ferran Mauri Guillen,Spanish Liga U,2026,Regular_Season,Averages,JLU,27,25.4,11.3,3.6,11.8,.304,1.7,6.5,.267,2.3,3.2,.724,0.9,1.6,2.4,2.6,1.1,0.0,2.0,2.7
Ferran Torreblanca,Spanish Liga U,2026,Regular_Season,Averages,BMLU,27,22.1,11.1,3.3,10.0,.328,2.1,6.9,.303,2.4,3.0,.815,1.6,2.9,4.4,2.1,1.4,0.1,2.7,2.1
Kasekelayi Mervedi Miteo,Spanish Liga U,2026,Regular_Season,Averages,GCLU,22,21.3,11.1,4.5,9.3,.490,0.0,0.6,.077,2.0,3.5,.558,2.7,5.2,7.9,1.0,1.4,0.8,2.1,2.8
Farly Nunez,Spanish Liga U,2026,Regular_Season,Averages,BLU,24,18.5,11.0,3.8,9.0,.417,1.8,5.4,.333,1.7,2.6,.651,0.6,1.6,2.2,0.8,1.5,0.3,0.9,2.0
Joan Llinas Terradas,Spanish Liga U,2026,Regular_Season,Averages,GLU,24,22.8,10.9,3.5,10.3,.335,1.0,4.7,.214,3.0,4.6,.640,1.7,2.0,3.7,1.1,1.0,0.1,2.1,2.2
Diego Niebla,Spanish Liga U,2026,Regular_Season,Averages,JLU,19,21.2,10.8,3.6,9.3,.390,0.8,3.2,.246,2.8,3.9,.707,0.6,2.2,2.7,1.5,1.4,0.4,1.9,2.3
Aleksandar Zecevic,Spanish Liga U,2026,Regular_Season,Averages,BLU,22,23.7,10.8,5.0,8.6,.582,0.1,0.8,.176,0.7,1.2,.556,2.4,3.0,5.4,1.0,0.7,0.2,2.2,2.0
Andrej Bjelic,Spanish Liga U,2026,Regular_Season,Averages,RMLU,22,23.3,10.8,3.7,10.0,.370,1.6,5.3,.302,1.8,2.3,.784,0.7,2.7,3.4,3.2,0.9,0.1,1.4,1.8
Ibai Hendrickx,Spanish Liga U,2026,Regular_Season,Averages,GLU,24,21.4,10.7,4.3,9.0,.474,0.3,1.2,.250,1.9,4.0,.474,2.6,3.8,6.5,1.1,1.3,0.4,2.2,2.3
Guillem Naspler,Spanish Liga U,2026,Regular_Season,Averages,BMLU,29,22.4,10.6,3.2,8.3,.386,0.7,3.3,.198,3.6,5.0,.715,1.2,3.0,4.2,1.5,1.6,0.1,2.2,2.5
Humberto Ruiz,Spanish Liga U,2026,Regular_Season,Averages,JLU,24,21.9,10.4,3.5,8.5,.410,1.5,4.6,.327,1.9,3.2,.605,0.8,1.8,2.5,1.3,1.3,0.3,1.9,2.6
Brayan Gonzalez,Spanish Liga U,2026,Regular_Season,Averages,GCLU,26,23.2,10.4,3.4,8.8,.386,1.8,4.8,.368,1.8,2.6,.706,0.5,3.1,3.6,5.2,1.5,0.0,2.6,2.0
Rafael Rodriguez Galvan,Spanish Liga U,2026,Regular_Season,Averages,CCLU,26,29.5,10.3,3.6,10.7,.333,1.8,6.3,.287,1.3,1.7,.778,0.5,2.0,2.4,3.7,0.8,0.2,1.9,2.4
Luca Medal Coppini,Spanish Liga U,2026,Regular_Season,Averages,GLU,23,27.9,10.3,3.7,10.3,.357,0.4,2.0,.200,2.5,3.6,.707,0.5,2.5,3.0,3.8,1.6,0.0,4.1,2.0
