player_name,league,season,split,team,gp,gs,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf
Pau Riera,Spanish Liga U,2026,International Season Stats,LLU,18,17,27.2,22.2,7.7,16.2,.474,1.4,5.8,.240,5.5,8.3,.660,0.8,4.0,4.8,4.1,3.6,0.2,4.1,2.3
Pau Riera,Spanish Liga U,2026,Wins,LLU,6,6,27.6,23.5,8.3,16.3,.510,1.8,5.8,.314,5.0,8.2,.612,0.8,3.7,4.5,5.5,6.2,0.2,5.0,2.0
Pau Riera,Spanish Liga U,2026,Losses,LLU,12,11,27.0,21.6,7.3,16.1,.456,1.2,5.8,.203,5.8,8.4,.683,0.8,4.2,4.9,3.3,2.3,0.3,3.7,2.4
Pau Riera,Spanish Liga U,2026,Home Games,LLU,9,9,27.7,21.9,7.7,15.3,.500,1.4,5.2,.277,5.1,8.3,.613,0.9,3.9,4.8,5.3,3.4,0.2,4.6,2.3
Pau Riera,Spanish Liga U,2026,Away Games,LLU,9,8,26.6,22.6,7.7,17.0,.451,1.3,6.3,.211,5.9,8.3,.707,0.7,4.1,4.8,2.8,3.8,0.2,3.7,2.2
Pau Riera,Spanish Liga U,2026,Games As Starter,LLU,17,17,27.4,22.5,7.8,16.3,.477,1.4,6.0,.235,5.5,8.4,.657,0.8,4.1,4.9,4.3,3.7,0.2,4.2,2.3
Pau Riera,Spanish Liga U,2026,Games In Rotation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pau Riera,Spanish Liga U,2026,Limited Playing Time,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pau Riera,Spanish Liga U,2026,Last 5 Games,LLU,5,5,27.4,23.6,8.6,18.0,.478,0.4,5.4,.074,6.0,8.6,.698,0.6,3.8,4.4,5.0,4.6,0.2,3.4,3.0
Pau Riera,Spanish Liga U,2026,Last 10 Games,LLU,10,10,27.0,21.6,7.6,15.8,.481,1.0,5.6,.179,5.4,8.3,.651,0.6,3.9,4.5,5.3,4.3,0.1,4.1,2.7
Pau Riera,Spanish Liga U,2026,v. Opp. Above .500,LLU,6,6,28.1,23.0,8.7,16.5,.525,1.0,5.3,.188,4.7,7.5,.622,0.7,4.3,5.0,3.7,2.5,0.3,4.0,2.2
