team,conference,aliases
Abilene Christian,WAC,
Air Force,MWC,
Akron,MAC,
Alabama,SEC,
Alabama A&M,SWAC,
Alabama State,SWAC,
Albany,AE,
Alcorn State,SWAC,
American,Pat,
Appalachian State,SB,
Arizona,B12,
Arizona State,B12,
Arkansas,SEC,
Arkansas Pine Bluff,SWAC,
Arkansas State,SB,
Army,Pat,
Auburn,SEC,
Austin Peay,ASun,
BYU,B12,Brigham Young
Ball State,MAC,
Baylor,B12,
Bellarmine,ASun,
Belmont,MVC,
Bethune Cookman,SWAC,
Binghamton,AE,
Boise State,MWC,
Boston College,ACC,
Boston University,Pat,
Bowling Green,MAC,
Bradley,MVC,
Brown,Ivy,
Bryant,AE,
Bucknell,Pat,
Buffalo,MAC,
Butler,BE,
Cal Baptist,WAC,
Cal Poly,BW,
Cal St. Bakersfield,BW,
Cal St. Fullerton,BW,
Cal St. Northridge,BW,
California,ACC,Cal|Cal Berkeley|UC Berkeley|Berkeley
Campbell,CAA,
Canisius,MAAC,
Central Arkansas,ASun,
Central Connecticut St.,NEC,
Central Michigan,MAC,
Charleston,CAA,
Charleston Southern,BSth,
Charlotte,Amer,
Chattanooga,SC,
Chicago State,NEC,
Cincinnati,B12,
Clemson,ACC,
Cleveland State,Horz,
Coastal Carolina,SB,
Colgate,Pat,
Colorado,B12,
Colorado State,MWC,
Columbia,Ivy,
Connecticut,BE,UConn
Coppin State,MEAC,
Cornell,Ivy,
Creighton,BE,
Dartmouth,Ivy,
Davidson,A10,
Dayton,A10,
DePaul,BE,
Delaware,CUSA,
Delaware St.,MEAC,
Denver,Sum,
Detroit Mercy,Horz,
Drake,MVC,
Drexel,CAA,
Duke,ACC,
Duquesne,A10,
East Carolina,Amer,
East Tennessee State,SC,
East Texas A&M,Slnd,
Eastern Illinois,OVC,
Eastern Kentucky,ASun,
Eastern Michigan,MAC,
Eastern Washington,BSky,
Elon,CAA,
Evansville,MVC,
FIU,CUSA,Florida International
Fairfield,MAAC,
Fairleigh Dickinson,NEC,
Florida,SEC,
Florida A&M,SWAC,
Florida Atlantic,Amer,FAU
Florida Gulf Coast,ASun,
Florida State,ACC,
Fordham,A10,
Fresno State,MWC,
Furman,SC,
Gardner Webb,BSth,
George Mason,A10,
George Washington,A10,
Georgetown,BE,
Georgia,SEC,
Georgia Southern,SB,
Georgia State,SB,
Georgia Tech,ACC,
Gonzaga,WCC,
Grambling State,SWAC,
Grand Canyon,MWC,
Green Bay,Horz,
Hampton,CAA,
Harvard,Ivy,
Hawaii,BW,
High Point,BSth,
Hofstra,CAA,
Holy Cross,Pat,
Houston,B12,
Houston Christian,Slnd,
Howard,MEAC,
Idaho,BSky,
