name,team,position,old_nil,new_nil,change,direction
Josiah Moseley,Texas Tech,Big,805623,876891,71269,up
Alier Maluk,Florida St.,Big,113209,170378,57169,up
Rene D'Amelio,Cal Baptist,Big,49624,101328,51704,up
Johan Munch,Oregon St.,Big,675951,724887,48936,up
Sekou Konneh,Milwaukee,Big,550974,596568,45594,up
Mohamed Wague,Oklahoma,Big,1362337,1405277,42940,up
David Simon,Vermont,Big,72577,115007,42430,up
Doctor Bradley,Bethune Cookman,Big,669626,711369,41743,up
Reid Cason,East Carolina,Big,191434,231792,40357,up
Kyle Evans,UC Irvine,Big,1221696,1258551,36855,up
Mouhamed Sylla,Georgia Tech,Big,1160258,1197108,36850,up
Aday Mara,Michigan,Big,2433036,2469199,36163,up
Daniel Jacobsen,Purdue,Big,1099191,1135189,35998,up
Will Shaver,Samford,Big,88160,121999,33838,up
David Punch,TCU,Big,2179797,2148851,-30946,down
Miles Heide,San Diego St.,Big,275964,305417,29453,up
Sean Logan,Davidson,Big,255005,284420,29415,up
Tyrin Jones,UNLV,Big,1475770,1505021,29251,up
Ernest Udeh Jr.,Miami FL,Big,1267634,1238464,-29170,down
Josh Bowman,Chattanooga,Big,52822,81591,28769,up
Dillon Mitchell,St. John's,Big,1133831,1105844,-27986,down
Bangot Dak,Colorado,Big,1674603,1648000,-26603,down
Sananda Fru,Louisville,Big,1625552,1651914,26362,up
Khouri Carvey,North Carolina Central,Big,583598,609731,26132,up
Sam Alexis,Indiana,Big,1307629,1333633,26004,up
Ivan Njegovan,Ohio St.,Big,244831,270821,25990,up
Antonio Chandler,Siena,Big,328324,354186,25862,up
Baye Ndongo,Georgia Tech,Big,1647185,1622055,-25130,down
Jeremiah Cherry,Sacramento St.,Big,267803,292921,25118,up
Najai Hines,Seton Hall,Big,1451384,1426298,-25086,down
Stephon Payne III,Seton Hall,Big,956360,931456,-24904,down
Elijah Price,Nevada,Big,1561138,1536530,-24608,down
Oswin Erhunmwunse,Providence,Big,1248647,1224333,-24314,down
James Scott,Mississippi,Big,764754,741150,-23603,down
Hosana Kitenge,UC Santa Barbara,Big,290231,313645,23414,up
Peyton Marshall,Georgia Tech,Big,352207,375528,23321,up
Felix Okpara,Tennessee,Big,854775,831612,-23163,down
Will Heimbrodt,Seattle,Big,1047273,1024377,-22896,down
Andrew Akuchie,Rice,Big,145776,168573,22796,up
Jadis Jones,Lindenwood,Big,655526,678264,22739,up
Wilson Jacques,Fresno St.,Big,845342,822629,-22713,down
Gustav Winther,Northern Illinois,Big,203111,225805,22694,up
Keba Keita,BYU,Big,1121906,1100565,-21341,down
Solomon Washington,Maryland,Big,880076,858773,-21303,down
Justin Abson,Georgia,Big,580169,601453,21284,up
Baba Miller,Cincinnati,Big,2099325,2078122,-21204,down
Nathan Claerbaut,Central Michigan,Big,614006,634853,20848,up
Michael Ajayi,Butler,Big,2040657,2019851,-20806,down
Carson Towt,Notre Dame,Big,747423,726942,-20480,down
Emmanuel Ogbole,Rutgers,Big,669687,649375,-20312,down
Tre'shawn Sheppard,LIU,Big,57965,78020,20055,up
Josh Ogundele,Hampton,Big,104320,123899,19579,up
Oskar Giltay,Stanford,Big,622806,603441,-19365,down
Riley Jacobs,UMBC,Big,78965,98311,19346,up
Mohammad Habhab,Eastern Michigan,Big,807374,788116,-19258,down
Johann Grünloh,Virginia,Big,1210475,1191319,-19156,down
Devin Williams,Florida Atlantic,Big,636195,617117,-19078,down
Jaxon Kohler,Michigan St.,Big,1783948,1764929,-19019,down
Carson Cooper,Michigan St.,Big,1751671,1770595,18924,up
Bryson Tiller,Kansas,Big,630399,611513,-18886,down
Motiejus Krivas,Arizona,Big,1763388,1744515,-18873,down
David Dixon,Duquesne,Big,1128641,1109797,-18844,down
Nico Ashley,Central Connecticut,Big,8555,27354,18799,up
Massamba Diop,Arizona St.,Big,1824341,1805803,-18538,down
Edwin Suarez Jr.,Weber St.,Big,469792,488322,18529,up
Brenen Lorient,West Virginia,Big,1037361,1018841,-18520,down
Brandon Benjamin,Fairfield,Big,1389934,1408448,18514,up
Anton Bonke,Charlotte,Big,1494789,1476830,-17959,down
Moustapha Thiam,Cincinnati,Big,1583100,1565237,-17863,down
Isaac Munkadi,Fairfield,Big,109398,127211,17813,up
Jaylen Crocker-Johnson,Minnesota,Big,970289,952578,-17711,down
Devin McGlockton,Vanderbilt,Big,963779,946148,-17631,down
Drew Scharnowski,Belmont,Big,1322738,1340363,17625,up
Quincy Ballard,Mississippi St.,Big,781386,763916,-17470,down
Tycen McDaniels,Alcorn St.,Big,761997,779453,17456,up
Lee Dort,California,Big,1173015,1155812,-17203,down
Justice Ajogbor,Saint Joseph's,Big,554562,537414,-17148,down
Jerquarius Stanback,Alabama St.,Big,612038,594936,-17103,down
Izaiyah Nelson,South Florida,Big,1939104,1922110,-16994,down
Achor Achor,Mississippi St.,Big,581095,564377,-16718,down
Luke Wilson,Appalachian St.,Big,936290,919576,-16715,down
KeShawn Murphy,Auburn,Big,1809720,1793042,-16678,down
Thomas Ndong,Cal Baptist,Big,282248,298806,16558,up
Aiden Sherrell,Alabama,Big,1732295,1715818,-16477,down
Magoon Gwath,San Diego St.,Big,672966,656512,-16454,down
Cam Manyawu,Iowa,Big,1303204,1286770,-16434,down
Luka Damjanac,Massachusetts,Big,14422,30828,16406,up
Nikola Djapa,Colorado St.,Big,14834,31150,16317,up
